title,published_date,views,likes,comments,category
Why you feel stuck — and how to get motivated - Shannon Odell,2025-02-04T16:01:28Z,631694,31994,560,Education
"How to survive the apocalypse | Ada, Ep. 1",2025-01-30T16:01:24Z,193366,7584,414,Education
Is the Amazon Rainforest disappearing? - Anna Rothschild,2025-01-28T16:01:32Z,220632,9338,347,Education
Have we reached the limit of computer power? - Sajan Saini and George Zaidan,2025-01-23T16:01:54Z,298361,12851,449,Education
What actually causes high cholesterol? - Hei Man Chan,2025-01-21T16:00:52Z,891024,31338,772,Education
The history of the world according to rats - Max G. Levy,2025-01-16T16:01:06Z,340479,11307,314,Education
One of the most controversial medical procedures in history - Jenell Johnson,2025-01-14T16:01:15Z,609054,18380,782,Education
The dark history of arsenic - Neil Bradbury,2025-01-09T16:01:51Z,432421,14294,318,Education
A day in the life of a martial artist in medieval China -  Peter Lorge,2025-01-07T16:00:42Z,211139,7988,197,Education
"Do you really need to take 10,000 steps a day? - Shannon Odell",2025-01-02T16:01:47Z,5843522,184313,2973,Education
How some friendships last — and others don’t - Iseult Gillespie,2024-12-19T16:01:26Z,910417,34999,698,Education
Why animals help each other - Ashley Ward,2024-12-17T16:01:04Z,330692,13228,348,Education
Lady Meng Jiang: The legend of the woman who outwitted an evil emperor - Juwen Zhang,2024-12-12T16:00:55Z,407252,12139,271,Education
How to make your stress work for you - Shannon Odell,2024-12-10T16:00:46Z,440408,16692,315,Education
How scientists are creating real-life invisibility cloaks - Max G. Levy,2024-12-05T16:00:42Z,318972,9237,367,Education
How are these fires burning underground? - Emma Bryce,2024-12-03T16:01:22Z,205258,7631,238,Education
Why don’t companies want you to repair your stuff? - Aaron Perzanowski,2024-11-26T16:00:50Z,575685,18804,1012,Education
What staying up all night does to your brain - Anna Rothschild,2024-11-21T16:01:25Z,4084787,190165,4138,Education
Can you solve the trickster god riddle? - Alex Rosenthal,2024-11-19T16:00:04Z,481801,13837,660,Education
This could save lives— but are you willing to do it? - Michael Vazquez and Sarah Stroud,2024-11-14T16:02:20Z,347223,12370,876,Education
Ugly History: The Armenian Genocide - Ümit Kurt,2024-11-12T16:01:44Z,436198,19324,4268,Education
How does kidney transplant surgery work? - Alexander H. Toledo,2024-11-07T16:00:36Z,243949,7174,329,Education
The real reason polio is so dangerous,2024-11-05T16:01:35Z,562719,16838,959,Education
The curse of the monkey's paw - Iseult Gillespie,2024-10-31T15:01:24Z,505350,26779,950,Education
How does extreme heat affect your body? - Carolyn Beans,2024-10-29T15:01:11Z,536615,16411,664,Education
3 reasons why medications are so expensive in the US - Kiah Williams,2024-10-24T15:01:02Z,201588,7596,502,Education
The dungeon master's riddle - Alex Rosenthal,2024-10-22T15:00:39Z,597237,16055,841,Education
What are those colors you see when you rub your eyes? - Paul CJ Taylor,2024-10-17T15:00:31Z,358655,11984,307,Education
The real tale of the Monkey King in Heaven - Ji Hao,2024-10-15T15:00:22Z,366666,12286,433,Education
This mushroom will kill you before you know what’s happening - Michael Beug,2024-10-10T15:01:45Z,868352,17860,967,Education
Greek mythology’s greatest warrior - Iseult Gillespie,2024-10-08T15:00:55Z,873189,20353,807,Education
Are there any places on Earth with no bugs? - Charles Wallace,2024-10-03T15:01:27Z,282706,8750,262,Education
You'll travel 1 trillion kilometers through space - Fabio Pacucci and Lindsay DeMarchi,2024-10-01T15:00:53Z,147871,5860,147,Education
Why did it take so long to find giant squids? - Anna Rothschild,2024-09-26T15:01:18Z,869246,25526,594,Education
"What is hysteria, and why were so many women diagnosed with it? - Mark S. Micale",2024-09-24T15:01:34Z,427693,20923,1197,Education
The birth of the galaxy in 60 seconds - Scott Hershberger,2024-09-19T15:01:32Z,217208,8323,214,Education
What’s the best way to treat the common cold?,2024-09-17T15:01:33Z,1004834,30776,1122,Education
The deadliest thing in your kitchen - George Zaidan,2024-09-12T15:02:13Z,272169,8744,331,Education
How do animals regrow their limbs? And why can't humans do it? - Jessica Whited,2024-09-10T15:00:42Z,530269,19209,428,Education
I quit the news and it saved my mental health,2025-03-05T11:00:35Z,93198,5556,825,Entertainment
My ultra minimalist phone setup,2025-02-26T20:55:00Z,219043,7037,482,Entertainment
A productive day in my life (except realistic),2025-02-19T23:39:02Z,165584,7332,468,Entertainment
This personal finance spreadsheet changed my life,2025-02-16T21:34:36Z,214263,8850,219,Entertainment
How therapy is helping improve my life,2025-02-12T21:21:32Z,113093,6148,266,Entertainment
Saying goodbye to my daughter,2025-01-27T21:56:08Z,915153,55260,5657,Entertainment
Tour my cozy minimalist studio,2025-01-01T21:00:25Z,179108,7337,364,Entertainment
Why I disappeared,2024-12-18T21:00:22Z,612214,36274,3353,Entertainment
How I got the strongest I've ever been at 36 years old,2024-03-31T11:15:37Z,759195,18150,585,Entertainment
I tried powerlifting for 100 days,2024-02-29T10:47:29Z,1899760,64338,1965,Entertainment
We tried minimalism with kids.,2024-02-04T12:52:41Z,523990,17102,1160,Entertainment
I'm on my own again.,2023-12-30T13:30:14Z,1259513,46298,2161,Entertainment
I timed everything for 30 days,2023-11-30T19:44:03Z,248864,10137,293,Entertainment
9 ways we keep our home organized,2023-10-30T14:32:41Z,626217,20253,327,Entertainment
I tried mobility stretching for 30 days,2023-10-16T14:00:30Z,492525,14985,263,Entertainment
I tracked my sleep after having a baby.,2023-09-25T14:24:45Z,332424,12103,637,Entertainment
I tried being a dad for 30 days,2023-08-28T15:05:17Z,418393,24425,1334,Entertainment
I tracked my mood every day for one year.,2023-07-31T14:00:49Z,412261,17972,601,Entertainment
I tried intermittent fasting for 30 days.,2023-05-24T15:13:28Z,1070015,24694,1165,Entertainment
I swapped lives with a night owl for a week,2023-05-05T14:05:20Z,700013,22398,714,Entertainment
I learned a productivity system for organizing life,2023-04-25T17:08:37Z,1522474,45383,1029,Entertainment
I wore the same thing every day for 5 years.,2023-03-29T16:30:02Z,602821,36520,450,Entertainment
I quit my phone for 30 days,2023-03-23T15:20:10Z,525736,20633,1038,Entertainment
9 self-help books that changed my life,2023-03-09T14:30:14Z,503834,21060,1770,Entertainment
"I walked 10,000 steps a day for 30 days",2023-03-01T17:30:00Z,2259381,51316,2045,Entertainment
I used a dumb phone for 30 days.,2023-02-15T18:38:37Z,525631,26538,206,Entertainment
I asked a personal finance expert how to invest.,2023-02-08T17:48:45Z,955235,30966,3155,Entertainment
The True Cost of Buying a House,2023-01-25T17:00:14Z,465869,15468,816,Entertainment
I took cold showers for 30 days. Here's what I learned.,2023-01-23T22:30:02Z,5841661,370991,5372,Entertainment
The Fresh Start Effect #shorts,2023-01-11T16:00:17Z,97636,5924,40,Entertainment
Our life is about to change.,2023-01-04T17:09:27Z,368809,23497,3019,Entertainment
What's on my phone as a digital minimalist.,2022-12-28T14:00:19Z,877963,23423,717,Entertainment
We bought a house!,2022-11-30T22:35:41Z,422370,16828,1188,Entertainment
I stopped using an alarm clock and it changed everything.,2022-11-16T22:29:18Z,349669,16589,813,Entertainment
My new minimalist wardrobe,2022-11-09T17:18:59Z,844712,26039,1030,Entertainment
Why my life is boring on purpose.,2022-10-31T13:40:38Z,515705,29176,1061,Entertainment
Goodbye for now.,2022-09-26T13:00:03Z,633053,37697,1826,Entertainment
The key to overcoming laziness #shorts,2022-09-22T13:00:33Z,328213,22901,111,Entertainment
Forget motivation. Try this. #shorts,2022-09-19T13:00:03Z,282625,20688,88,Entertainment
I used a dumb phone for 30 days,2022-09-12T13:00:05Z,3002423,79471,2973,Entertainment
Why your habits never stick,2022-09-05T13:00:36Z,400428,20252,526,Entertainment
The 5 Second Rule #shorts,2022-08-29T13:00:03Z,352475,35288,239,Entertainment
I learned a system for remembering everything,2022-08-17T14:30:31Z,9479654,411811,4942,Entertainment
How a fresh start changed our life,2022-07-27T13:29:15Z,830196,31352,626,Entertainment
10 rules that changed my life,2022-06-30T13:00:07Z,891377,45465,820,Entertainment
I tried bullet journaling for 30 days,2022-06-20T15:00:51Z,925624,30191,1289,Entertainment
Why I eat the same thing every day.,2022-05-31T14:00:26Z,954447,35539,2772,Entertainment
I read 100 self-help books. Here’s what I learned…,2022-05-16T13:00:25Z,1716888,74989,1634,Entertainment
Tour my minimalist desk setup #shorts,2022-05-02T13:00:26Z,183481,10422,215,Entertainment
How to get things done as a perfectionist.,2022-04-29T13:00:30Z,311240,15829,390,Entertainment
The simple math behind paying off debt versus investing #shorts,2025-03-13T12:01:01Z,23678,891,31,News & Politics
"Tim Walz, live at SXSW with Today, Explained",2025-03-12T16:00:05Z,25308,823,172,News & Politics
How to balance paying debt vs. investing,2025-03-11T12:00:00Z,174376,6050,348,News & Politics
How AI helps Hollywood de-age actors,2025-03-10T12:01:14Z,33601,1005,25,News & Politics
Why the US has birthright citizenship,2025-03-06T13:00:38Z,1194583,35593,3599,News & Politics
The AI revolution is here. Can we build a Good Robot? #shorts,2025-03-05T10:45:04Z,28601,1013,40,Science & Technology
Two charts show the crisis coming for our national parks #shorts #nationalparks #news,2025-02-27T15:30:01Z,45194,2092,56,News & Politics
How the polar jetstream affects our winters,2025-02-25T13:00:06Z,28411,1408,37,Science & Technology
What would it take for bird flu to become a pandemic? #shorts #birdflu #pandemic  #publichealth,2025-02-20T13:00:23Z,31191,1359,50,News & Politics
How de-aging in movies got so good,2025-02-19T13:00:45Z,1156630,26696,904,Entertainment
How we know fingerprints are unique #shorts,2025-02-17T13:00:41Z,301840,18699,142,News & Politics
Is it time to worry about bird flu?,2025-02-11T13:00:01Z,564758,19813,1247,News & Politics
Are your fingerprints really unique?,2025-02-07T13:00:24Z,184175,6512,237,News & Politics
These amazing color photos predate color film #shorts,2025-01-28T13:00:36Z,365047,45405,184,News & Politics
Did you throw out your black plastic spatula? #shorts,2025-01-22T13:00:15Z,1061201,55644,1839,News & Politics
"What wildfire ""containment"" really means #shorts",2025-01-15T16:27:10Z,109030,5329,72,News & Politics
One reason movies are so dark now,2025-01-13T13:00:23Z,109785,6290,123,Entertainment
Should fluoride be in our water?,2025-01-10T13:00:04Z,432393,12268,1356,News & Politics
"2024, in 4 minutes",2024-12-27T11:53:55Z,1351816,60544,3366,News & Politics
What If You Could Beat The Clock On Limited Time Offers? [Partner content from Chime],2024-12-20T21:03:20Z,24267,358,15,News & Politics
Vince Staples on the weird history of why we get paid every two weeks [Partner content from Chime],2024-12-20T20:00:04Z,99783,2169,230,News & Politics
FIlmmakers love faking America in Vancouver,2024-12-20T13:00:22Z,26705,960,17,Entertainment
How to see our end-of-year video early,2024-12-19T14:08:14Z,30554,1229,24,News & Politics
The Problem with Payday Loans [Advertiser content from Chime],2024-12-18T20:00:08Z,15355,233,30,News & Politics
Why your favorite movies fake their locations,2024-12-18T17:00:40Z,790898,17475,748,Entertainment
Is your brain scamming you into making bad financial decisions? [Partner content from Chime],2024-12-11T20:00:02Z,35078,495,39,News & Politics
"Trumpism is a movement, not just a moment | The Gray Area",2024-12-09T13:00:56Z,83272,2018,333,News & Politics
How restaurants maximize profit #shorts,2024-12-05T13:00:11Z,681545,53452,339,News & Politics
Why every restaurant has the same desserts,2024-12-04T13:00:40Z,1118361,22667,731,News & Politics
Christina Ricci Leads A Scam-Stopping Power Team [Partner content from Zelle®],2024-12-03T20:19:43Z,46703,625,116,News & Politics
The stunning success of vaccines in the US #shorts,2024-11-27T13:01:14Z,543620,44218,2419,News & Politics
"Napoleon's missing hand, explained #shorts",2024-11-19T13:00:49Z,3207578,252631,1951,News & Politics
Why one side of a hurricane is stronger #shorts,2024-11-11T13:00:16Z,80528,4462,30,News & Politics
The Trump states that voted for abortion rights #shorts,2024-11-08T20:45:47Z,846924,49440,2637,News & Politics
"America’s shift to the right, in data #shorts",2024-11-06T22:44:03Z,2229783,110035,5742,News & Politics
How Trump’s second term will be different,2024-11-06T13:35:02Z,5389117,144070,20151,News & Politics
What polls can actually tell us,2024-11-01T16:06:33Z,655323,16057,780,News & Politics
Why the US banned Red 3,2024-10-30T12:01:07Z,434799,13280,654,News & Politics
The secret ingredient in almost everything you eat,2024-10-23T12:01:00Z,160435,10010,117,Education
"The ""dirty side"" of a hurricane, explained",2024-10-18T12:00:28Z,529567,14750,210,News & Politics
The Gray Area | Ta-Nehisi Coates on visiting Palestine,2024-10-17T13:01:10Z,79141,2636,565,News & Politics
Why some cheese is yellow,2024-10-10T12:00:43Z,472929,34442,343,Education
The real reason cheese is yellow,2024-10-08T12:00:55Z,680997,21733,687,Education
#ad Some folks want to silence YOUR Vote. Listen for more on voters rights.,2024-10-04T20:11:15Z,29925,695,38,News & Politics
Are data centers a climate threat?,2024-10-03T12:00:22Z,192696,11710,203,News & Politics
Can clean energy handle the AI boom?,2024-10-01T12:00:47Z,277614,8014,587,News & Politics
How to support our journalism #shorts,2024-09-30T12:00:20Z,17301,622,11,News & Politics
The Gray Area | Yuval Noah Harari on the AI revolution,2024-09-27T15:35:13Z,96256,2537,202,News & Politics
The camera that changed photography forever #shorts,2024-09-26T15:10:43Z,54288,4311,23,News & Politics
How Kodak invented the “snapshot”,2024-09-20T16:25:29Z,369925,14675,271,News & Politics
"Zodiac Isn’t Sure Who The Real Killer Is, But David Fincher Might Be | CineFix Top 100",2025-03-09T13:15:06Z,15714,406,91,Entertainment
Top 10 Movie Mysteries of All Time | A CineFix Movie List,2025-02-16T14:32:00Z,126332,4057,378,Entertainment
Top 10 Apocalypse Movies of All Time | A CineFix Movie List,2025-01-26T15:00:12Z,127941,4582,488,Entertainment
Wolf Man Director Leigh Whannell Picks His Favorite Shots from His Career | My Best Shots,2025-01-15T14:01:07Z,10853,473,40,Entertainment
Top 10 Movies of 2024 | A CineFix Movie List,2024-12-29T14:30:04Z,335931,9240,676,Entertainment
Die Hard Is The Sequel To The Book Seven Samurai Wrote On Action | CineFix Top 100,2024-12-22T14:00:00Z,17418,574,146,Entertainment
"Robert Eggers Picks His Favorite Shots from Nosferatu, The Witch, and More | My Best Shots",2024-12-20T14:00:10Z,258709,6275,226,Entertainment
Planet of the Apes HAD to Star a Big Old Jerk | CineFix Top 100,2024-12-15T14:00:52Z,13327,407,81,Entertainment
The Truman Show Makes You Its Main Character | CineFix Top 100,2024-12-08T14:15:00Z,18140,520,116,Entertainment
The Dark Knight’s Best Line of Dialogue Is Coming True | CineFix Top 100,2024-12-01T14:00:20Z,21100,588,235,Entertainment
Toy Story Is One of the Most Consequential Movies Ever Made | CineFix Top 100,2024-11-17T15:00:05Z,14757,496,108,Entertainment
The 3 Secrets to a Ridley Scott Battle Scene,2024-11-15T15:01:00Z,13842,626,31,Entertainment
One of Us Does NOT Like Kill Bill Vol. 1 | CineFix Top 100,2024-11-10T15:01:01Z,16760,506,128,Entertainment
OSS 117 Is Pitch Perfect Connery Era Bond Parody | CineFix Top 100,2024-11-03T14:15:05Z,12688,367,78,Entertainment
Alien is a B-Movie Done In an A+ Way | CineFix Top 100,2024-10-27T13:15:08Z,20513,642,111,Entertainment
The Naked Gun Might Be The Last Great Spoof  | CineFix Top 100,2024-10-20T13:15:03Z,27760,660,200,Entertainment
Top 10 Political Films of All Time | A CineFix Movie List,2024-10-16T14:15:00Z,106209,4549,486,Entertainment
They Live is a B-Movie But the ‘B’ Stands for Brilliant | CineFix Top 100,2024-10-13T13:00:45Z,18713,644,114,Entertainment
Anchorman's Greatest Gift to Cinema Is How Quotable It Is | CineFix Top 100,2024-10-06T13:01:10Z,16081,459,103,Entertainment
"John Wick Showed Hollywood How to Save Itself, But No One Paid Attention",2024-10-02T17:32:36Z,117094,3931,328,Entertainment
Ikiru Isn’t The First Kurosawa You Think Of (But Maybe It Should Be) | CineFix Top 100,2024-09-29T14:00:29Z,11505,346,61,Entertainment
Francis Ford Coppola Picks His Favorite Shots From His Most Iconic Movies | My Best Shots,2024-09-27T12:00:02Z,39160,1187,59,Entertainment
Uncut Gems Is Peak ‘New York Dirtbag’ Cinema | CineFix Top 100,2024-09-22T14:00:44Z,14992,414,104,Entertainment
Blade Runner 2049 Is The Artsiest Big Budget Sci Fi Can Get | CineFix Top 100,2024-09-15T14:00:02Z,23848,847,146,Entertainment
CineFix Top 100 Is BACK For Season 3,2024-09-11T14:00:23Z,7636,362,45,Entertainment
Beetlejuice Goes Hawaiian: The Bonkers Sequel We Almost Got,2024-09-03T16:30:11Z,31512,1192,131,Entertainment
When Exactly Did The Alien Movies Stop Being About Space Truckers?,2024-08-19T14:00:28Z,75281,2472,281,Entertainment
